NACA74 
1.000000 0.001494
0.966389 0.006974
0.933352 0.012147
0.900891 0.017038
0.869003 0.021665
0.837690 0.026046
0.806952 0.030192
0.776788 0.034116
0.747199 0.037825
0.718184 0.041327
0.689744 0.044627
0.661879 0.047729
0.634588 0.050635
0.607871 0.053347
0.581729 0.055867
0.556162 0.058194
0.531169 0.060330
0.506751 0.062274
0.482907 0.064026
0.459638 0.065586
0.436943 0.066953
0.414823 0.068128
0.393278 0.069110
0.372307 0.069901
0.351910 0.070501
0.332088 0.070912
0.312841 0.071134
0.294168 0.071170
0.276070 0.071022
0.258546 0.070693
0.241597 0.070185
0.225223 0.069504
0.209423 0.068652
0.194197 0.067633
0.179546 0.066453
0.165470 0.065116
0.151968 0.063627
0.139041 0.061992
0.126688 0.060215
0.114910 0.058304
0.103706 0.056264
0.093077 0.054100
0.083022 0.051818
0.073542 0.049424
0.064637 0.046925
0.056306 0.044325
0.048549 0.041631
0.041367 0.038847
0.034760 0.035978
0.028727 0.033031
0.023269 0.030008
0.018386 0.026915
0.014076 0.023755
0.010342 0.020531
0.007182 0.017247
0.004596 0.013906
0.002585 0.010509
0.001149 0.007058
0.000287 0.003555
0.000000 0.000000
0.000000 -0.000000
0.000287 -0.003555
0.001149 -0.007058
0.002585 -0.010509
0.004596 -0.013906
0.007182 -0.017247
0.010342 -0.020531
0.014076 -0.023755
0.018386 -0.026915
0.023269 -0.030008
0.028727 -0.033031
0.034760 -0.035978
0.041367 -0.038847
0.048549 -0.041631
0.056306 -0.044325
0.064637 -0.046925
0.073542 -0.049424
0.083022 -0.051818
0.093077 -0.054100
0.103706 -0.056264
0.114910 -0.058304
0.126688 -0.060215
0.139041 -0.061992
0.151968 -0.063627
0.165470 -0.065116
0.179546 -0.066453
0.194197 -0.067633
0.209423 -0.068652
0.225223 -0.069504
0.241597 -0.070185
0.258546 -0.070693
0.276070 -0.071022
0.294168 -0.071170
0.312841 -0.071134
0.332088 -0.070912
0.351910 -0.070501
0.372307 -0.069901
0.393278 -0.069110
0.414823 -0.068128
0.436943 -0.066953
0.459638 -0.065586
0.482907 -0.064026
0.506751 -0.062274
0.531169 -0.060330
0.556162 -0.058194
0.581729 -0.055867
0.607871 -0.053347
0.634588 -0.050635
0.661879 -0.047729
0.689744 -0.044627
0.718184 -0.041327
0.747199 -0.037825
0.776788 -0.034116
0.806952 -0.030192
0.837690 -0.026046
0.869003 -0.021665
0.900891 -0.017038
0.933352 -0.012147
0.966389 -0.006974
1.000000 -0.001494
